timestamp,funds_reserved,funds_disbursed,rebate_avail
2021-07-24 17:10:20,13754002,145193852,6918662
2021-07-24 17:11:33,13754002,145193852,6918662
2021-07-24 17:14:03,13757002,145193852,6915662
2021-07-24 17:18:14,13757002,145193852,6915662
2021-07-24 17:23:20,13763002,145193852,6909662
2021-07-24 17:28:22,13775002,145193852,6897662
2021-07-24 17:30:49,13781002,145193852,6891662
2021-07-25 00:55:51,13796002,145193852,6876662
2021-07-25 01:06:03,13803502,145193852,6869162
2021-07-25 01:10:56,13806502,145193852,6866162
2021-07-25 04:33:59,13818502,145193852,6854162
2021-07-25 16:41:51,13818502,145193852,6854162
2021-07-26 04:35:14,14016502,145193852,6656162
2021-07-26 16:44:02,14025502,145193852,6647162
2021-07-27 04:32:29,14141002,145193852,6531662
2021-07-27 16:42:42,14142502,145193852,6530162
2021-07-28 04:35:06,14270002,145193852,6402662
2021-07-28 16:44:50,14276002,145193852,6396662
2021-07-29 04:35:22,14409502,145193852,6263162
2021-07-29 16:43:57,14412502,145193852,6260162
2021-07-30 04:34:57,14514502,145193852,6158162
2021-07-30 16:43:12,14523502,145193852,6149162
2021-07-31 04:35:09,14636002,145193852,6036662
2021-07-31 16:41:29,14645002,145193852,6027662
2021-08-01 04:34:15,14841502,145193852,5831162
2021-08-01 16:41:53,14841502,145193852,5831162
2021-08-02 04:34:51,14943502,145193852,5729162
2021-08-02 16:43:30,14943502,145193852,5729162
2021-08-03 04:35:47,14972002,145193852,5700662
2021-08-03 16:48:54,14973502,145193852,5699162
2021-08-04 04:34:59,13452502,146872352,5541662
2021-08-04 16:56:08,13455502,146872352,5538662
2021-08-05 04:44:03,13661002,146872352,5333162
2021-08-05 16:53:48,13668502,146872352,5325662
2021-08-06 04:43:02,13905502,146872352,5088662
2021-08-06 16:43:04,13914502,146872352,5079662
2021-08-07 04:34:26,14111002,146872352,4883162
2021-08-07 16:50:11,14117002,146872352,4877162
2021-08-08 04:39:13,14337502,146872352,4656662
2021-08-08 16:51:58,14346502,146872352,4647662
2021-08-09 04:44:13,14543002,146872352,4451162
2021-08-09 16:52:03,14543002,146872352,4451162
2021-08-10 04:45:06,14652501,146872352,4341663
2021-08-10 16:51:25,14658501,146872352,4335663
2021-08-11 04:17:07,14763501,146872352,4230663
2021-08-11 04:35:06,14763501,146872352,4230663
2021-08-11 16:42:09,14768001,146872352,4226163
2021-08-12 04:34:47,15027501,146872352,3966663
2021-08-12 16:43:08,15033501,146872352,3960663
2021-08-13 04:35:22,15231501,146872352,3762663
2021-08-13 16:42:00,15239001,146872352,3755163
2021-08-14 04:34:25,15459501,146872352,3534663
2021-08-14 16:40:48,15459501,146872352,3534663
2021-08-15 04:34:34,15678501,146872352,3315663
2021-08-15 16:40:48,15678501,146872352,3315663
2021-08-16 04:34:27,15788001,146872352,3206163
2021-08-16 16:45:48,15791001,146872352,3203163
2021-08-17 04:34:48,15887001,146872352,3107163
2021-08-17 16:42:14,15893001,146872352,3101163
2021-08-18 04:35:00,15993501,146872352,3000663
2021-08-18 16:40:49,15993501,146872352,3000663
2021-08-19 04:34:42,16164501,146872352,2829663
2021-08-19 16:42:52,16167501,146872352,2826663
2021-08-20 04:36:39,15761001,147359852,2745663
2021-08-20 16:42:13,15428001,147698852,2739663
2021-08-21 04:34:51,14985501,148273352,2607663
2021-08-21 16:40:36,14988501,148273352,2604663
2021-08-22 04:34:57,15102501,148273352,2490663
2021-08-22 16:40:45,15102501,148273352,2490663
2021-08-23 04:35:30,15147501,148273352,2445663
2021-08-23 16:44:30,15147501,148273352,7445663
2021-08-24 04:35:03,15243501,148273352,7349663
2021-08-24 16:42:43,15246501,148273352,7346663
2021-08-25 04:35:13,15323001,148273352,7270163
2021-08-25 16:42:30,15326001,148273352,7267163
2021-08-26 04:34:49,15428001,148273352,7165163
2021-08-26 16:43:48,15438501,148273352,7154663
2021-08-27 04:34:51,15569001,148273352,7024163
2021-08-27 16:42:05,15572001,148273352,7021163
2021-08-28 04:34:38,15704001,148273352,6889163
2021-08-28 16:40:36,15713001,148273352,6880163
2021-08-29 16:40:53,15870501,148273352,6722663
2021-08-30 04:35:08,15948501,148273352,6644663
2021-08-30 16:42:34,15951501,148273352,6641663
2021-08-31 04:34:44,16076001,148273352,6517163
2021-08-31 16:41:40,16082001,148273352,6511163
2021-09-01 04:35:30,16208001,148273352,6385163
2021-09-01 16:42:49,16095501,148391852,6379163
2021-09-02 04:34:07,14639001,149947352,6280163
2021-09-02 16:44:16,14639001,149947352,6280163
2021-09-03 04:35:07,14691501,149947352,6227663
2021-09-03 16:41:40,14708001,149947352,6211163
2021-09-04 04:35:03,14835501,149947352,6083663
2021-09-04 16:40:53,14835501,149947352,6083663
2021-09-05 04:35:13,14949501,149947352,5969663
2021-09-05 16:41:09,14949501,149947352,5969663
2021-09-06 04:35:36,15021501,149947352,5897663
2021-09-06 16:42:07,15021501,149947352,5897663
2021-09-07 04:33:46,15047001,149947352,5872163
2021-09-07 16:41:43,15050001,149947352,5869163
2021-09-08 04:34:04,15101001,149947352,5818163
2021-09-08 16:41:13,15102501,149947352,5816663
2021-09-09 04:34:21,15180501,149947352,5738663
2021-09-09 16:42:15,15192501,149947352,5726663
2021-09-10 04:34:18,15311001,149947352,5608163
2021-09-10 16:39:02,15314001,149947352,5605163
2021-09-11 04:33:57,15465501,149947352,5453663
2021-09-11 16:39:22,15465501,149947352,5453663
2021-09-12 04:33:52,15687501,149947352,5231663
2021-09-12 16:39:29,15687501,149947352,5231663
2021-09-13 04:34:09,15797001,149947352,5122163
2021-09-13 16:39:21,15800001,149947352,5119163
2021-09-14 04:33:45,15867501,149947352,5051663
2021-09-14 16:40:22,15887001,149947352,5032163
2021-09-15 04:33:24,16098501,149947352,4820663
2021-09-15 16:37:04,16104501,149947352,4814663
2021-09-16 04:31:31,16299501,149947352,4619663
2021-09-16 16:39:40,16299501,149947352,4619663
2021-09-17 04:33:33,16496001,149947352,4423163
2021-09-17 16:40:47,16500501,149947352,4418663
2021-09-18 04:33:01,16620501,149947352,4298663
2021-09-18 16:38:36,16620501,149947352,4298663
2021-09-19 04:33:05,16860501,149947352,4058663
2021-09-19 16:38:27,16890501,149947352,4028663
2021-09-20 04:33:40,17153001,149947352,3766163
2021-09-20 16:36:44,17159001,149947352,3760163
2021-09-21 04:35:25,17207001,149947352,3712163
2021-09-22 04:34:20,17318001,149944352,3604163
2021-09-23 04:35:30,17399001,149944352,3523163
2021-09-24 04:34:40,17484501,149944352,3437663
2021-09-25 04:34:06,17564001,149944352,3358163
2021-09-26 04:34:11,17631501,149944352,3290663
2021-09-27 04:34:43,17678001,149944352,3244163
2021-09-28 04:34:36,16481001,151207352,3178163
2021-09-29 04:34:34,13245501,154505852,3115163
2021-09-30 04:34:16,13305002,154523852,3037662
2021-10-01 04:34:30,13395002,154523852,2947662
2021-10-02 04:34:14,13488002,154523852,2854662
2021-10-03 04:33:54,13509002,154523852,2833662
2021-10-04 04:34:13,13599002,154523852,2743662
2021-10-05 04:34:53,13672502,154523852,2670162
2021-10-06 04:34:08,13708502,154523852,2634162
2021-10-07 04:35:47,13771502,154523852,2571162
2021-10-08 04:34:16,13827002,154523852,2515662
2021-10-09 04:34:08,13894502,154523852,7448162
2021-10-10 04:34:13,13944002,154523852,7398662
2021-10-11 04:34:00,13980002,154523852,7362662
2021-10-12 04:34:23,13995002,154523852,7347662
2021-10-13 04:34:37,11202002,157385852,7278662
2021-10-14 04:34:40,10276502,158405852,7184162
2021-10-15 04:34:42,10469503,158405852,6991161
2021-10-15 18:35:42,10493503,158405852,6967161
2021-10-15 18:42:33,10493503,158405852,6967161
2021-10-16 04:34:00,10687003,158405852,6773661
2021-10-17 04:34:11,10966003,158405852,6494661
2021-10-18 04:34:55,11209003,158405852,6251661
2021-10-19 04:34:19,11327503,158405852,6133161
2021-10-20 04:34:34,11372503,158405852,6088161
2021-10-21 04:35:10,11623003,158405852,5837661
2021-10-22 04:35:09,11848003,158405852,5612661
2021-10-23 04:34:26,12172003,158405852,5288661
2021-10-24 04:34:32,12598003,158405852,4862661
2021-10-25 04:34:57,12923503,158405852,4537161
2021-10-26 04:34:50,11207503,160232852,4426161
2021-10-27 04:35:09,8276002,163233353,4357161
2021-10-28 04:34:53,8510002,163233353,4123161
2021-10-29 04:35:19,8745502,163233353,3887661
2021-10-30 04:34:32,9009502,163233353,3623661
2021-10-31 04:34:40,9384502,163233353,3248661
2021-11-01 04:35:23,9539002,163233353,3094161
2021-11-02 04:35:53,9617002,163233353,3016161
2021-11-03 04:35:08,9678502,163233353,2954661
2021-11-04 04:34:55,9834502,163233353,2798661
2021-11-05 04:35:10,9929002,163233353,2704161
2021-11-06 04:34:50,10041502,163233353,2591661
2021-11-07 04:34:18,10116502,163233353,2516661
2021-11-08 04:34:57,10137502,163233353,2495661
2021-11-09 04:35:26,7976501,165464854,7425161
2021-11-10 04:35:35,8050001,165464854,7351661
2021-11-11 04:36:41,8120501,165464854,7281161
2021-11-12 04:35:27,8132501,165464854,7269161
2021-11-13 04:35:01,8198501,165464854,7203161
2021-11-14 04:34:46,8276501,165464854,7125161
2021-11-15 04:35:22,8293001,165464854,7108661
2021-11-16 04:35:13,8373002,165464854,7028660
2021-11-17 04:35:39,8430002,165464854,6971660
2021-11-18 04:35:14,8491502,165464854,6910160
2021-11-19 04:35:25,8556002,165464854,6845660
2021-11-20 04:35:09,8610002,165464854,6791660
2021-11-21 04:35:12,8664002,165464854,6737660
2021-11-22 04:35:32,8691002,165464854,6710660
2021-11-23 04:35:24,8211002,166021354,6634160
2021-11-24 04:35:28,6445502,167854354,6566660
2021-11-25 04:35:57,6486002,167875354,6505160
2021-11-26 04:35:31,6556502,167875354,6434660
2021-11-27 04:35:12,6657002,167875354,6334160
2021-11-28 04:34:58,6718502,167875354,6272660
2021-11-29 04:35:58,6765002,167875354,6226160
2021-11-30 04:29:40,6855002,167875354,6136160
2021-12-01 04:36:21,6958502,167875354,6032660
2021-12-02 04:35:48,7018502,167875354,5972660
2021-12-03 04:36:01,7075502,167875354,5915660
2021-12-04 04:36:28,7146002,167875354,5845160
2021-12-05 04:36:15,7198502,167875354,5792660
2021-12-06 04:36:24,7215002,167875354,5776160
2021-12-07 04:36:50,6249002,168881854,5735660
2021-12-08 04:36:12,4134501,171053355,5678660
2021-12-09 04:36:29,4182501,171053355,5630660
2021-12-10 04:36:11,4254501,171053355,5558660
2021-12-11 04:35:59,4299501,171053355,5513660
2021-12-12 04:35:56,4334001,171053355,5479160
2021-12-13 04:36:47,4337001,171053355,5476160
2021-12-14 04:35:54,4392501,171053355,5420660
2021-12-15 04:36:21,4448001,171053355,5365160
2021-12-16 04:36:09,4485501,171053355,5327660
2021-12-17 04:36:10,4518501,171050355,5297660
2021-12-18 04:36:03,4559001,171050355,5257160
2021-12-19 04:36:46,4584501,171050355,5231660
2021-12-20 04:37:28,4608501,171050355,5207660
2021-12-21 04:37:10,4670001,171050355,5146160
2021-12-22 04:37:07,4715001,171050355,5101160
2021-12-23 04:37:29,2510001,173312355,5044160
2021-12-24 04:37:07,2610501,173312355,4943660
2021-12-25 04:36:50,2634501,173312355,4919660
2021-12-26 04:36:59,2634501,173312355,4919660
2021-12-27 04:39:31,2661501,173312355,4892660
2021-12-28 04:37:02,2699001,173312355,4855160
2021-12-29 04:37:10,2769501,173312355,4784660
2021-12-30 04:37:09,2843001,173312355,4711160
2021-12-31 04:37:18,2901501,173312355,4652660
2022-01-01 04:37:06,2937501,173312355,4616660
2022-01-02 04:37:12,2937501,173312355,4616660
2022-01-03 04:37:49,2960001,173312355,4594160
2022-01-04 04:37:31,3015501,173312355,4538660
2022-01-05 04:37:21,3060501,173309355,4496660
2022-01-06 04:37:45,3083001,173309355,4474160
2022-01-07 04:37:18,3107001,173309355,4450160
2022-01-08 04:37:23,3170001,173309355,4387160
2022-01-09 04:37:41,3224001,173309355,4333160
2022-01-11 04:37:17,3308001,173309355,4249160
2022-01-12 04:37:44,3377001,173309355,4180160
2022-01-13 04:37:46,3432501,173309355,4124660
2022-01-14 04:37:55,3537501,173309355,4019660
2022-01-15 04:37:35,3747501,173309355,3809660
2022-01-16 04:37:32,3951501,173309355,3605660
2022-01-17 04:38:10,4179501,173309355,3377660
2022-01-18 04:37:58,4317501,173309355,3239660
2022-01-19 04:33:37,4419501,173309355,3137660
2022-01-20 04:33:20,4620501,173306355,2939660
2022-01-21 04:36:07,4868001,173306355,2692160
2022-01-22 04:34:36,5154501,173306355,7405660
2022-01-23 04:33:07,5480001,173306355,7080160
2022-01-24 04:34:13,5795001,173306355,6765160
2022-01-25 04:34:09,3842001,175407855,6616660
2022-01-26 04:32:54,3935001,175406355,6525160
2022-01-27 04:33:48,4076001,175406355,6384160
2022-01-28 04:33:52,4167501,175406355,6292660
2022-01-29 04:33:21,4388001,175400355,6078160
2022-01-30 04:33:11,4623501,175400355,5842660
2022-01-31 04:33:46,4841001,175400355,5625160
2022-02-01 04:33:13,4953501,175400355,5512660
2022-02-02 04:33:05,4002501,176448855,5415160
2022-02-03 04:33:25,4272501,176448855,5145160
2022-02-04 04:28:02,4446501,176448855,4971160
2022-02-05 04:27:47,4685001,176448855,4732660
2022-02-06 04:33:01,4992501,176448855,4425160
2022-02-07 04:33:42,5222001,176448855,4195660
2022-02-08 04:32:53,5313501,176448855,4104160
2022-02-09 04:33:09,5373501,176448855,4044160
2022-02-10 04:32:51,5582001,176448855,3835660
2022-02-11 04:32:56,5777001,176448855,3640660
2022-02-12 04:32:57,5928501,176448855,3489160
2022-02-13 04:32:41,6131001,176448855,3286660
2022-02-14 04:33:25,6276501,176448855,3141160
2022-02-15 04:33:22,6321501,176448855,3096160
2022-02-16 04:34:37,4733001,178080855,3052660
2022-02-17 04:34:05,4832001,178080855,2953660
2022-02-18 04:34:03,4946001,178080855,2839660
2022-02-19 04:33:30,5084001,178080855,2701660
2022-02-20 04:33:28,5193501,178080855,2592160
2022-02-21 04:34:34,5255001,178080855,2530660
2022-02-22 04:33:40,5268501,178080855,2517160
2022-02-23 04:33:32,5340501,178080855,2445160
2022-02-24 04:33:52,5414001,178080855,2371660
2022-02-25 04:33:43,5486001,178080855,2299660
2022-02-26 04:48:24,5546001,178077855,2242660
2022-02-27 04:33:13,5589501,178077855,2199160
2022-02-28 04:34:23,5633001,178077855,2155660
2022-03-01 04:35:07,4043001,179817855,2005660
2022-03-02 04:34:33,3809001,180120855,1936660
2022-03-03 04:34:15,3885501,180120855,1860160
2022-03-04 04:34:30,3963501,180120855,1782160
2022-03-05 04:33:46,4071501,180120855,1674160
2022-03-06 04:33:37,4229001,180120855,1516660
2022-03-07 04:34:19,4326501,180120855,1419160
2022-03-08 04:34:31,4391001,180120855,1354660
2022-03-09 04:34:35,4466001,180120855,1279660
2022-03-10 04:35:22,4568001,180120855,1177660
2022-03-11 04:35:58,4645002,180120855,1100659
2022-03-12 04:35:52,4763502,180120855,982159
2022-03-13 04:35:32,4876002,180120855,869659
2022-03-14 04:44:34,4966002,180120855,779659
2022-03-15 04:34:48,5024502,180120855,721159
2022-03-16 04:34:08,5105502,180120855,5640159
2022-03-17 04:34:35,5237502,180120855,5508159
2022-03-18 04:34:32,5354502,180120855,5391159
2022-03-19 04:34:04,5491002,180120855,5254659
2022-03-20 04:34:27,5660502,180120855,5085159
2022-03-21 04:34:40,5902002,180120855,4843659
2022-03-22 04:35:04,6002502,180120855,4743159
2022-03-23 04:34:56,4242501,181979856,4644159
2022-03-24 04:35:11,3740001,182665356,4461159
2022-03-25 04:35:49,3888501,182665356,4312659
2022-03-26 04:34:31,4170501,182665356,4030659
2022-03-27 04:34:44,4460001,182665356,3741159
2022-03-28 04:35:03,4529001,182665356,3672159
2022-03-29 04:35:04,4616001,182665356,3585159
2022-03-30 04:35:12,4715001,182665356,3486159
2022-03-31 04:35:06,4781001,182665356,3420159
2022-04-01 04:38:23,4869501,182665356,3331659
2022-04-02 04:34:46,4947501,182665356,3253659
2022-04-03 04:34:34,4979001,182665356,3222159
2022-04-04 04:34:59,4997001,182665356,3204159
